,Participant,FX_Head,FX_Body,FX_NotPerson,FX_FacePresentAVG,FX_Nose,FX_LeftEye,FX_RightEye,FX_Mouth,FX_Exterior,FX_OtherAreas,CFMTp,Sex,Ethnic,PI20,PC1,PC2,PC3,PC4,PC5
0,P4,0.690501,0.294178,0.014300306,1,0.006128703,0.011235955,0,0.050051073,0.634320735,0.298263534,0.617647059,Man,Asian,48,0.640317397,0.702077094,-2.041812915,-0.223021243,0.250343042
0,P5,0.843981,0.116342,0.039677202,1,0.020174849,0,0,0.145258911,0.76260928,0.07195696,0.852941176,Woman,Caucasian,40,0.883944252,1.023701427,-1.043847866,1.155877319,0.541672904
0,P6,0.809651,0.008043,0.18230563,1,0.131367292,0.00536193,0.002680965,0.278820375,0.243967828,0.337801609,0.598039216,Man,Asian,64,1.363501359,0.015682008,-1.313729241,-0.268230579,-1.222527277
0,P7,0.824,0.104,0.072,1,0.196,0.044,0.12,0.072,0.196,0.372,0.637254902,Woman,Asian,62,-0.116710554,-0.216131239,-0.546173811,-2.182524651,-0.042005308
0,P8,0.859784,0.021572,0.110939908,1,0.143297381,0,0.018489985,0.286594761,0.311248074,0.2403698,0.558823529,Man,Asian,44,1.312625786,0.200211966,0.51071491,1.045196158,0.06409457
0,P9,0.98498,0.003953,0.011067194,1.000790514,0.523320158,0.030039526,0.101976285,0.211857708,0.06798419,0.064822134,0.715686275,Woman,Caucasian,46,0.572151655,-0.9429292,0.570995658,-0.051459314,-0.412264913
0,P10,0.804323,0.062571,0.133105802,1,0.158134243,0.005688282,0.229806598,0.161547213,0.232081911,0.212741752,0.745098039,Woman,Mediterranean,30,0.239065511,1.19138717,1.034616963,-0.182275037,0.879000712
0,P11,0.962862,0.000906,0.036231884,1,0.447463768,0.184782609,0.145833333,0.075181159,0.100543478,0.046195652,0.676470588,Man,Asian,37,-0.873735718,-1.157220703,-0.184270263,0.277716439,0.453077656
0,P12,0.881241,0.018154,0.100605144,1,0.284417549,0.024962179,0.197428139,0.193645991,0.182299546,0.117246596,0.647058824,Man,Mediterranean,39,0.136281608,-0.554918175,2.24091873,-0.127653345,0.43016025
0,P13,0.909007,0.043199,0.047794118,1,0.383272059,0.037683824,0.068014706,0.263786765,0.148897059,0.098345588,0.666666667,Woman,Caucasian,30,1.188531151,-1.058829636,1.161259454,0.996243933,0.737965571
0,P14,0.853586,0.016932,0.129482072,1,0.326693227,0.043824701,0.180278884,0.03187251,0.168326693,0.249003984,0.784313725,Woman,Asian,40,-1.139501312,-0.603156861,0.562896697,-0.265517,-0.767379426
0,P15,0.917857,0.007143,0.075,1,0.119642857,0,0.303571429,0.064285714,0.319642857,0.192857143,0.705882353,Woman,Caucasian,42,-0.233584612,1.281103072,0.915595034,-0.961415588,-0.080507234
0,P16,0.9375,0.008152,0.054347826,1.000905797,0.373188406,0.058876812,0.253623188,0.035326087,0.134963768,0.144021739,0.705882353,Woman,Caucasian,43,-1.108726078,-0.68224278,0.9323652,0.115684266,-0.062774801
0,P17,1,0,0,1,0.505295008,0.001512859,0.078668684,0.287443268,0.06505295,0.062027231,0.62745098,Man,Asian,45,1.405150482,-1.23741799,0.16975743,-0.854234811,-1.956494052
0,P18,0.936232,0,0.063768116,1,0.11884058,0.053623188,0.210144928,0.026086957,0.494202899,0.097101449,0.87254902,Woman,Caucasian,44,-1.28958143,0.643564291,-0.511099318,0.732996296,-1.381198888
0,P19,0.916898,0.004617,0.078485688,1,0.098799631,0.000923361,0.255771006,0.257617729,0.268698061,0.118190212,0.803921569,Woman,Southern Asian,46,0.468505617,1.338856589,0.967129725,0.017132554,1.155784366
0,P20,0.768089,0.090909,0.141001855,1,0.005565863,0.018552876,0.064935065,0.016697588,0.41187384,0.482374768,0.637254902,Woman,Asian,41,-0.249277781,2.03101262,0.547947668,-0.497264593,0.467027604
0,P21,0.994158,0,0.005842259,1,0.46932814,0,0.026290166,0.386562804,0.045764362,0.072054528,0.539215686,Man,Caucasian,38,1.205602701,-1.075146484,-0.596507284,-0.456520523,-1.329210795
0,P22,0.95423,0.002774,0.042995839,1,0.173370319,0.134535368,0.216366158,0.015256588,0.259361997,0.20110957,0.676470588,Woman,Asian,37,-1.524894552,-0.155735664,0.320550946,0.048588807,-0.177655509
0,P23,0.918276,0.008915,0.072808321,1,0.109955423,0.014858841,0.291233284,0.026745914,0.432392273,0.124814264,0.617647059,Woman,Caucasian,36,-0.893814115,1.302922101,0.088351925,-0.73676246,-1.536320027
0,P24,0.862629,0.050222,0.087149188,1,0.048744461,0.00295421,0.127031019,0.00295421,0.304283604,0.514032496,0.509803922,Woman,Caucasian,37,-0.778715806,1.353950141,-0.026396216,-0.618791008,-1.069297072
0,P25,0.968541,0,0.031458532,1,0.204003813,0.021925643,0.09914204,0.275500477,0.287893232,0.111534795,0.450980392,Woman,Asian,78,1.08980665,0.053963927,1.066193807,0.677598197,0.991138564
0,P27,0.940516,0,0.059483726,1,0.32996633,0.114478114,0.03030303,0.134680135,0.283950617,0.106621773,0.549019608,Woman,Asian,53,0.125091833,-0.648575337,-1.707673576,-2.117478678,2.663372054
0,P28,0.913986,0.021011,0.065003283,1,0.116217991,0.240971766,0.021011162,0,0.511490479,0.110308601,0.598039216,Woman,Middle Eastern,41,-1.179138079,0.382045235,-1.561566931,2.240231587,0.309591373
0,P29,0.891098,0,0.108902334,1,0.452031115,0.068280035,0.082973207,0.046672429,0.165946413,0.184096802,0.843137255,Woman,Asian,42,-0.945104879,-1.519874263,0.186509718,0.733673954,-0.355207065
0,P31,0.845395,0,0.154605263,1,0.384868421,0.078947368,0.129934211,0.057565789,0.121710526,0.226973684,0.774509804,Man,Caucasian,51,-0.784353731,-1.240491186,-0.347601618,-1.047073494,1.010984107
0,P32,0.947577,0.000989,0.051434224,1,0.15727003,0,0,0.598417409,0.1256182,0.118694362,0.588235294,Woman,Asian,68,1.608529277,0.39482143,-0.601871849,1.101724454,-0.354655191
0,P33,0.925581,0.057364,0.017054264,1,0.306976744,0.150387597,0.040310078,0.021705426,0.325581395,0.15503876,0.794117647,Woman,Caucasian,42,-1.121966633,-0.822629548,-0.793252979,1.44755836,0.793284786
