FRAME,OpenPose_NumberOfPeople,Volunteer1,Volunteer2,Volunteer3,Volunteer4,AVERAGE
P2_7294,0,1,1,0,1,0.75
P2_9536,1,1,1,1,1,1
P2_10041,1,1,1,1,1,1
P2_10745,1,1,1,1,1,1
P2_11587,1,3,3,1,4,2.75
P2_12464,1,4,5,1,5,3.75
P2_12646,1,5,6,6,6,5.75
P2_18501,0,0,0,0,0,0
P2_20422,0,0,0,0,0,0
P2_21543,0,0,0,0,0,0
P2_22495,0,1,1,2,1,1.25
P2_23262,1,1,1,1,1,1
P2_23520,2,2,1,1,2,1.5
P2_25584,0,0,0,0,0,0
P2_26490,0,0,0,0,0,0
P2_28285,1,2,0,0,2,1
P2_30761,1,3,3,1,3,2.5
P2_31859,1,1,1,1,1,1
P2_31971,1,1,1,1,2,1.25
P2_34549,0,1,3,0,2,1.5
P3_7355,0,0,0,0,0,0
P3_10345,1,2,1,1,2,1.5
P3_14327,0,1,1,0,1,0.75
P3_14579,0,1,1,0,1,0.75
P3_15828,0,0,0,0,0,0
P3_17266,0,0,0,0,0,0
P3_17317,0,0,0,0,0,0
P3_20517,0,0,0,0,0,0
P3_22692,0,0,0,0,0,0
P3_23280,2,1,0,0,0,0.25
P3_23705,1,2,1,2,1,1.5
P3_25109,1,2,2,2,2,2
P3_25113,1,2,2,2,2,2
P3_25629,0,1,1,1,1,1
P3_25842,0,0,0,0,0,0
P3_26762,0,1,0,0,1,0.5
P3_27677,0,0,0,0,2,0.5
P3_28452,0,0,0,0,0,0
P3_32281,0,0,0,0,0,0
P3_34808,1,0,0,0,0,0
P4_12887,2,2,2,2,5,2.75
P4_16656,1,1,1,1,1,1
P4_17364,0,0,0,0,0,0
P4_21186,1,1,1,1,1,1
P4_22858,0,2,0,2,3,1.75
P4_23969,1,5,3,3,6,4.25
P4_25317,0,1,0,0,3,1
P4_25629,1,3,3,0,3,2.25
P4_26119,1,3,3,3,3,3
P4_27800,3,3,3,3,5,3.5
P4_27860,2,3,3,3,7,4
P4_28250,0,3,3,0,5,2.75
P4_29368,0,0,0,0,5,1.25
P4_29563,0,2,2,0,7,2.75
P4_30108,2,15,12,8,13,12
P4_32616,2,3,2,2,2,2.25
P4_32707,4,4,4,3,4,3.75
P4_33291,3,3,3,3,7,4
P4_34541,5,7,6,3,6,5.5
P4_34913,6,11,8,4,9,8
P5_7214,0,0,0,0,0,0
P5_7588,0,0,0,0,0,0
P5_9724,0,0,0,0,0,0
P5_10692,0,1,1,0,1,0.75
P5_11383,2,3,2,2,2,2.25
P5_11791,2,4,4,2,4,3.5
P5_13182,1,3,3,3,4,3.25
P5_13921,2,3,3,2,3,2.75
P5_15015,1,0,0,0,0,0
P5_16032,0,0,0,0,1,0.25
P5_16076,0,0,0,0,1,0.25
P5_17143,0,3,0,0,3,1.5
P5_22650,0,0,0,0,0,0
P5_23850,3,3,3,3,3,3
P5_25239,6,6,9,5,8,7
P5_25248,5,7,9,5,8,7.25
P5_26257,3,5,5,2,7,4.75
P5_28128,4,7,7,6,9,7.25
P5_31401,1,3,7,3,8,5.25
P5_34548,0,0,0,0,0,0
P6_8753,1,2,3,1,3,2.25
P6_11473,0,0,0,0,0,0
P6_12416,1,1,1,1,1,1
P6_12604,1,2,1,1,2,1.5
P6_14066,2,2,4,2,4,3
P6_15035,4,5,5,4,6,5
P6_16637,1,1,1,1,1,1
P6_16701,1,1,1,1,1,1
P6_20265,2,2,2,1,2,1.75
P6_20969,1,1,1,1,1,1
P6_21081,1,1,2,2,2,1.75
P6_21366,1,1,1,1,1,1
P6_21562,2,2,2,1,2,1.75
P6_22327,0,0,0,0,0,0
P6_25151,3,4,3,3,3,3.25
P6_25851,2,2,2,2,2,2
P6_26446,0,1,3,0,1,1.25
P6_27894,4,4,5,4,5,4.5
P6_31953,2,2,2,2,6,3
P6_32803,4,4,4,4,4,4
P7_9442,2,2,2,2,2,2
P7_9540,0,0,0,0,0,0
P7_10305,1,0,1,1,1,0.75
P7_10406,1,1,1,0,1,0.75
P7_10879,0,0,0,4,0,1
P7_15097,3,4,4,4,4,4
P7_16884,4,4,4,4,4,4
P7_23544,4,4,4,4,4,4
P7_23705,2,3,2,3,3,2.75
P7_24019,0,0,0,0,0,0
P7_25167,1,2,4,4,5,3.75
P7_27301,0,0,0,0,0,0
P7_29682,12,14,16,13,14,14.25
P7_29855,7,7,7,6,7,6.75
P7_30605,1,1,1,1,1,1
P7_31038,2,3,5,4,7,4.75
P7_31413,3,5,4,6,6,5.25
P7_31655,5,5,8,4,8,6.25
P7_33343,4,4,6,3,8,5.25
P7_34663,3,5,6,3,6,5
P8_7113,0,0,0,0,0,0
P8_7379,0,1,1,1,1,1
P8_8882,0,0,1,0,1,0.5
P8_11425,3,4,5,3,6,4.5
P8_12398,4,9,10,6,11,9
P8_12540,2,9,9,6,10,8.5
P8_14055,3,8,4,3,8,5.75
P8_15033,2,4,4,2,4,3.5
P8_17716,6,6,7,6,9,7
P8_19243,0,0,0,0,0,0
P8_19800,2,3,3,3,3,3
P8_23032,5,6,6,5,6,5.75
P8_23443,0,0,0,0,0,0
P8_26353,5,5,5,6,7,5.75
P8_29564,8,10,9,5,11,8.75
P8_30717,4,11,11,9,13,11
P8_30943,5,10,11,6,9,9
P8_32964,4,8,10,3,9,7.5
P8_34481,5,7,8,7,8,7.5
P9_8403,0,0,0,0,0,0
P9_8831,0,2,0,2,0,1
P9_9396,0,2,2,2,2,2
P9_11058,0,1,0,1,0,0.5
P9_11452,0,0,0,0,0,0
P9_11686,0,0,0,0,0,0
P9_12479,1,1,1,1,1,1
P9_14682,2,2,3,2,3,2.5
P9_18680,0,1,1,1,1,1
P9_23255,0,0,0,0,0,0
P9_23770,0,0,0,0,0,0
P9_24044,2,3,4,1,4,3
P9_24582,2,4,4,2,4,3.5
P9_25563,4,6,6,4,6,5.5
P9_27646,0,0,1,0,1,0.5
P9_31655,3,3,3,3,3,3
P9_31904,2,2,2,1,2,1.75
P9_32979,1,1,1,1,0,0.75
P9_34069,1,1,1,1,3,1.5
P9_34237,1,1,3,1,2,1.75
P10_8891,0,1,1,1,1,1
P10_9557,1,1,1,1,1,1
P10_9599,0,0,0,0,0,0
P10_11942,4,3,6,3,6,4.5
P10_12783,3,3,6,3,5,4.25
P10_13779,2,2,6,2,6,4
P10_15092,2,1,5,2,4,3
P10_15939,0,0,6,0,5,2.75
P10_18006,0,1,2,0,2,1.25
P10_19031,2,6,8,2,7,5.75
P10_19036,2,6,8,2,7,5.75
P10_19855,0,0,0,0,0,0
P10_22943,2,2,2,2,2,2
P10_24131,2,1,5,0,3,2.25
P10_27844,6,6,6,6,7,6.25
P10_29057,3,2,3,3,3,2.75
P10_29830,4,3,7,3,8,5.25
P10_30593,10,11,12,9,12,11
P10_31145,1,3,5,2,3,3.25
P10_32854,3,5,5,5,10,6.25
P11_11967,0,0,0,0,0,0
P11_12089,0,0,1,0,1,0.5
P11_12158,0,0,1,0,1,0.5
P11_15417,2,1,5,3,4,3.25
P11_15773,2,2,4,2,4,3
P11_17902,1,1,3,1,4,2.25
P11_18502,0,0,0,0,1,0.25
P11_18965,0,0,2,0,2,1
P11_19119,0,2,2,2,2,2
P11_20876,0,0,0,2,3,1.25
